"";"df";"est";"err";"t";"pval";"p_corr";"p_corr_hoch"
"PTA_lf";102;0,109472981755182;0,0231399924867889;4,730899624003;7,20717327388311e-06;0,000216215198216493;4,32430396432987e-05
"PTA_hf";102;1,01698486138664;0,0803251089102617;12,6608587922713;1,20506603793759e-22;3,61519811381277e-21;3,61519811381277e-21
"teoae_SNR_1";102;0,00641880101933987;0,0400070623776433;0,160441697986974;0,872850464287783;1;0,931071966126287
"teoae_SNR_2";102;0,0459927473628537;0,0270564944239131;1,6998782858656;0,0922013873490207;1;0,184402774698041
"teoae_SNR_3";100;-0,0186689064995958;0,0329216127387191;-0,567071444760641;0,571936386040968;1;0,71492048255121
"teoae_SNR_4";98;-0,0206345173334902;0,032264950624824;-0,639533516521623;0,52396809997808;1;0,688887446426446
"teoae_SNR_5";65;-0,00364888359220747;0,0351252981157849;-0,103881925220379;0,917582916193839;1;0,931071966126287
"SP_amp";83;-5,22625270743346e-05;0,000323224241759404;-0,16169123574969;0,871941962077953;1;0,931071966126287
"AP_amp_pm";83;-0,00683743942632497;0,00125715778897634;-5,4388076709865;5,2964711366975e-07;1,58894134100925e-05;4,35594865108171e-06
"WV_amp_pm";83;-0,00228831372306156;0,00100066259833139;-2,28679849419509;0,0247540234887895;0,742620704663684;0,0571246695895141
"AP_lat";83;5,62595136443604e-07;1,70096674991478e-06;0,330750225700643;0,741666671711087;1;0,890000006053305
"WV_lat";83;1,85633797603034e-06;2,93027473483701e-06;0,633503048011502;0,528147042260275;1;0,688887446426446
"memr_slope";92;-0,000227703833946647;7,57136315108551e-05;-3,00743511310775;0,0033972184728064;0,101916554184192;0,009265141289472
"FFR_SNR";83;-0,215997684013043;0,0503682914688225;-4,288366305749;4,83155087457401e-05;0,0014494652623722;0,000207066466053172
"FFR_noise";83;2,07357232013904e-07;1,84187078374804e-07;1,1257968465733;0,263496272319213;1;0,448438582879694
"EFR_SNR";55;-0,112202820424717;0,0466738997003526;-2,4039735514937;0,0196145065860064;0,588435197580193;0,0490362664650161
"EFR_noise";55;9,1807834612786e-09;5,38949780734284e-08;0,170345805666168;0,865363276367361;1;0,931071966126287
"Neg_4Hz";100;0,0179125519463553;0,00335369164326866;5,34114458087058;5,80793153477562e-07;1,74237946043269e-05;4,35594865108171e-06
"ITPC_ratio";100;-0,0093982238546021;0,00132078058225083;-7,11565871038622;1,71240478439267e-10;5,13721435317801e-09;2,568607176589e-09
"AEP_p2n1_int";96;0,0499563143065788;0,0116417012164616;4,29115241644748;4,24317530721337e-05;0,00127295259216401;0,000207066466053172
"ABR_NF_slope";94;0,00700373694668873;0,00231680306383746;3,02301781968815;0,00322543590517394;0,0967630771552183;0,009265141289472
"ABR_NF_int";94;-0,0104901361538992;0,00290533721609519;-3,61064323128661;0,000492351308914346;0,0147705392674304;0,0018463174084288
"acalos_AC_slope_1";99;0,000278703465196557;0,000336422211175398;0,828433604971616;0,409417744689644;1;0,646449070562596
"acalos_AC_slope_2";99;0,000189503314458215;0,000291852089715483;0,649312857903314;0,517639783727866;1;0,688887446426446
"acalos_AC_slope_3";99;0,000191941454105096;0,000288820962158025;0,664568986513094;0,507871237333322;1;0,688887446426446
"acalos_AC_slope_4";99;0,000809135720092902;0,000432264672843482;1,87185252676404;0,0641790269066926;1;0,137526486228627
"rds";98;-0,0702047113517011;0,0228039012127658;-3,07862723560651;0,00269758543577605;0,0809275630732816;0,00899195145258684
"nesi";98;0,0174147398612814;0,200818490061327;0,0867188068985241;0,931071966126287;1;0,931071966126287
"tts";98;0,00819367712469836;0,00737158255683961;1,11152212723928;0,269063149727816;1;0,448438582879694
"ssq12_mean";100;0,0125421093130506;0,00779936039041831;1,60809459817485;0,110967282836917;1;0,208063655319219
