"";"df";"est";"err";"t";"pval";"p_corr";"p_corr_hoch"
"PTA_hf";101;0,872774028046245;0,0824710696589474;10,5827902033469;4,67835418817665e-18;1,2631556308077e-16;1,2631556308077e-16
"teoae_SNR_1";101;0,0159853965351984;0,0443402607317457;0,360516520908809;0,719213784116385;1;0,776750886845696
"teoae_SNR_2";101;0,0571945982040985;0,0299101875401458;1,91221128678419;0,058682557653341;1;0,176047672960023
"teoae_SNR_3";99;-0,0293813158116848;0,0364629830813212;-0,805784752886439;0,422298212539022;1;0,67070892579727
"teoae_SNR_4";97;-0,0373682319049571;0,0355822898745944;-1,05019188019256;0,296239340806831;1;0,499903887611528
"teoae_SNR_5";64;-0,0182348901246753;0,0381591140434816;-0,477864609327592;0,634374735863589;1;0,713671577846537
"SP_amp";77;-0,000255417755186908;0,000365242355493098;-0,699310338315171;0,486465254847609;1;0,706209940328945
"AP_amp_pm";77;-0,00762303819829838;0,00136769472102061;-5,57364014142709;3,53362009230325e-07;9,54077424921879e-06;3,18025808307293e-06
"WV_amp_pm";77;-0,00200852140928136;0,00113190425281919;-1,77446228714029;0,0799394062711409;1;0,215836396932081
"AP_lat";77;-2,42603331332412e-07;1,74179743501675e-06;-0,139283321042484;0,889589927996972;1;0,923804925227625
"WV_lat";77;1,59344179011451e-06;3,26779275339976e-06;0,487620210448389;0,627204380044015;1;0,713671577846537
"memr_slope";91;-0,000202441272888313;8,16869371686729e-05;-2,47825760035902;0,0150467059906144;0,406261061746588;0,0507826327183235
"FFR_SNR";80;-0,220324661092426;0,0582061081089142;-3,78524983460771;0,000295417702799828;0,00797627797559535;0,00132937966259922
"FFR_noise";80;1,04095340041921e-07;2,1746193777575e-07;0,478683033484535;0,633469853197292;1;0,713671577846537
"EFR_SNR";54;-0,0726993609354293;0,0458657112824208;-1,58504815259004;0,118794790830119;1;0,291587213855748
"EFR_noise";54;3,35651934611267e-08;5,58404035515926e-08;0,601091527394045;0,550294004686779;1;0,713671577846537
"Neg_4Hz";99;0,0176972974347126;0,00369924318437983;4,78403190940243;6,00211504727306e-06;0,000162057106276373;4,05142765690931e-05
"ITPC_ratio";99;-0,00933788853998866;0,00145694108348182;-6,40924238176663;4,9906538952395e-09;1,34747655171466e-07;6,73738275857332e-08
"AEP_p2n1_int";95;0,0455318193283049;0,0107494050493482;4,23575250158293;5,26726773238852e-05;0,0014221622877449;0,00028443245754898
"acalos_AC_slope_1";98;0,000412654591174165;0,000371981890363331;1,10934054012981;0,269998135516644;1;0,485996643929959
"acalos_AC_slope_2";98;0,000181263695901621;0,000323880568609297;0,559662151638009;0,576986844926387;1;0,713671577846537
"acalos_AC_slope_3";98;2,9285285192457e-05;0,000318171077318699;0,0920425748287709;0,926852102763039;1;0,926852102763039
"acalos_AC_slope_4";98;0,000575949014055549;0,000476482692304078;1,20875117471842;0,229666840349285;1;0,461824444677823
"rds";97;-0,0768695198253953;0,0252998242095802;-3,03834205283875;0,00305677254407136;0,0825328586899267;0,0117904083842752
"nesi";97;-0,149114796277638;0,218693473089305;-0,681843834528826;0,49696255060185;1;0,706209940328945
"tts";97;0,00965252220724199;0,00815523285508763;1,18359860211965;0,239464526869982;1;0,461824444677823
"ssq12_mean";99;0,0120021758803419;0,0086394910858646;1,3892225550159;0,167881957162133;1;0,377734403614798
