"";"df";"est";"err";"t";"pval";"p_corr";"p_corr_hoch"
"PTA_lf";74;0,0536510642866822;0,0281299072843878;1,90726061569562;0,0603680320023493;1;0,169030489606578
"PTA_hf";74;0,669775190300001;0,0954924567427774;7,01390678537192;9,2601988134868e-10;2,59285566777631e-08;2,59285566777631e-08
"teoae_SNR_1";74;-0,0326695895889459;0,058777592112871;-0,555817079512379;0,580012571592586;1;0,854755368662758
"teoae_SNR_2";74;0,0482680651984686;0,0407405540550986;1,18476702926498;0,239900711954946;1;0,516709225749113
"teoae_SNR_3";72;0,0193457726590521;0,0504495000390234;0,383468074888509;0,702502702951379;1;0,898139548335648
"teoae_SNR_4";74;0,0331995223647957;0,0441829222369987;0,751410741614426;0,454788619312904;1;0,848938756050754
"teoae_SNR_5";50;-0,00598157581448147;0,0464898373458544;-0,128664158792004;0,898139548335648;1;0,898139548335648
"SP_amp";60;-0,00108999910979367;0,000591161692528122;-1,84382568013204;0,0701480478885727;1;0,17855866735273
"AP_amp_pm";60;-0,00711696934164597;0,00182227352148824;-3,90554395798584;0,000241088292915492;0,00675047220163378;0,00135009444032676
"WV_amp_pm";60;-0,000224538730674605;0,00137392533608703;-0,163428626561394;0,870730206470095;1;0,898139548335648
"AP_lat";60;-1,22016530533342e-06;2,11907210862236e-06;-0,575801691867234;0,56690272337981;1;0,854755368662758
"WV_lat";60;1,15826489085506e-06;4,07081048520671e-06;0,284529308122837;0,776984500882573;1;0,898139548335648
"memr_slope";69;-0,000144304008144612;0,000106438373413025;-1,35575172296792;0,179599005636581;1;0,419064346485355
"FFR_SNR";62;-0,190320759272117;0,070251944817021;-2,70911730298468;0,00871057356903822;0,24389605993307;0,0406493433221784
"FFR_noise";62;8,44205717915163e-08;2,86070712890357e-07;0,295103860645366;0,768900509566182;1;0,898139548335648
"EFR_SNR";38;-0,16348067611031;0,0682875108699321;-2,39400549277148;0,0217062363623068;0,60777461814459;0,0679727365580998
"EFR_noise";38;-5,5306733733148e-08;8,6999728632445e-08;-0,63571156603036;0,528774635947801;1;0,854755368662758
"Neg_4Hz";73;0,0200958155553295;0,00508848925808704;3,94926952501504;0,000178918276402631;0,00500971173927366;0,00125242793481842
"ITPC_ratio";73;-0,00802794580977099;0,0014724146777306;-5,45223158339083;6,45129494922984e-07;1,80636258578436e-05;9,03181292892178e-06
"AEP_p2n1_int";69;0,0583203332265034;0,0142626204193238;4,08903353744783;0,000115448077330527;0,00323254616525475;0,00107751538841825
"acalos_AC_slope_1";72;-0,000134599970424794;0,000468559903469496;-0,287263100039366;0,774736015855997;1;0,898139548335648
"acalos_AC_slope_2";72;8,43882351974536e-05;0,000410151414199636;0,205748980195832;0,83756763838865;1;0,898139548335648
"acalos_AC_slope_3";72;0,000242989514087065;0,000412947538192858;0,588427079988021;0,558087077033383;1;0,854755368662758
"acalos_AC_slope_4";72;-0,000109545290251502;0,000574890042891231;-0,19054998709071;0,849414435194256;1;0,898139548335648
"rds";71;-0,0689710731554435;0,0294169409175263;-2,34460385764827;0,0218483796079607;0,611754629022898;0,0679727365580998
"nesi";70;0,307846235919384;0,291539603863111;1,0559328195559;0,294629690674362;1;0,589259381348724
"tts";70;0,0247337776663022;0,00973645490937092;2,54032683317796;0,0132959957525894;0,372287881072502;0,0531839830103575
"ssq12_mean";72;0,00516154116154116;0,0112682056025686;0,458062387534407;0,648287114680116;1;0,898139548335648
