"";"df";"est";"err";"t";"pval";"p_corr";"p_corr_hoch"
"PTA_hf";101;1,31731894964635;0,319566078847771;4,12221145121561;7,70589728026574e-05;0,00223471021127706;0,00223471021127706
"teoae_SNR_1";101;-0,0873877313148617;0,171813501579757;-0,508619698169039;0,612128047583725;1;0,845319684758478
"teoae_SNR_2";101;-0,102325255616915;0,115898598009379;-0,882886051897145;0,379394419841297;1;0,69488580087347
"teoae_SNR_3";99;0,0977905886372564;0,141430432463734;0,691439507988017;0,490907667653147;1;0,749280124312699
"teoae_SNR_4";97;0,149647817921877;0,134891834880479;1,10939122486155;0,270004299759402;1;0,69488580087347
"teoae_SNR_5";64;0,130339040499368;0,133014374840089;0,979886878061589;0,330831655989188;1;0,69488580087347
"SP_amp";82;0,00202482277254335;0,00132392211188996;1,52941230783798;0,130010937659353;1;0,69488580087347
"AP_amp_pm";82;0,00504787383595781;0,00519239107061123;0,972167498039316;0,333826265341587;1;0,69488580087347
"WV_amp_pm";82;-0,00298403584298455;0,00414366578550912;-0,7201439492104;0,473484153801567;1;0,749280124312699
"AP_lat";82;1,70973914398793e-06;7,06328593544897e-06;0,242060021300731;0,809338012397053;1;0,97612327479825
"WV_lat";82;3,65423763769308e-07;1,2172282536915e-05;0,0300209728669281;0,97612327479825;1;0,97612327479825
"memr_slope";91;-0,000246408739016487;0,000296012173831164;-0,832427720209341;0,407346848787896;1;0,69488580087347
"FFR_SNR";80;0,203669210984935;0,229539186125231;0,887296040484427;0,377579331984342;1;0,69488580087347
"FFR_noise";80;8,82139715298871e-07;8,57573849755755e-07;1,02864577266449;0,306746235524508;1;0,69488580087347
"EFR_SNR";54;-0,481438955817133;0,165696984762136;-2,90553842309355;0,00530492601245542;0,153842854361207;0,0769214271806035
"EFR_noise";54;-2,97179159504425e-07;2,01732105263264e-07;-1,47313765013557;0,146519366556546;1;0,69488580087347
"Neg_4Hz";99;0,00202515772283829;0,0143481377582048;0,141144290427531;0,888042759633843;1;0,97612327479825
"ITPC_ratio";99;-0,000567646770405732;0,0056509913864692;-0,10045082917042;0,920189563913061;1;0,97612327479825
"AEP_p2n1_int";95;0,0638225505451604;0,0408292122935924;1,56315899719614;0,121340401415406;1;0,69488580087347
"ABR_NF_slope";93;0,00346739543599287;0,00999053128876433;0,34706817242967;0,729324255680769;1;0,919582757162709
"ABR_NF_int";93;-0,0109476481065726;0,0118874335501368;-0,920942948736538;0,359463023849575;1;0,69488580087347
"acalos_AC_slope_1";98;-0,00121938823015956;0,00143566075189292;-0,849356805604524;0,397752889840813;1;0,69488580087347
"acalos_AC_slope_2";98;7,50083055679927e-05;0,00125001413428746;0,0600059659411367;0,952273081325148;1;0,97612327479825
"acalos_AC_slope_3";98;0,00148066776150458;0,00122797840413086;1,20577671115688;0,230806765895531;1;0,69488580087347
"acalos_AC_slope_4";98;0,00212279351335222;0,00183898065475467;1,15433161728143;0,251171406728113;1;0,69488580087347
"rds";97;0,0611636147548074;0,0991614322059333;0,616808505022254;0,538806092131352;1;0,781268833590461
"nesi";97;1,53274296801924;0,844611544306858;1,8147312552744;0,0726559239577568;1;0,69488580087347
"tts";97;-0,0134272549695502;0,0314961563260958;-0,426314081963873;0,670823578152298;1;0,884267443928029
"ssq12_mean";99;0,004944165340177;0,0332816398360899;0,148555340557939;0,882206688933665;1;0,97612327479825
