"";"df";"est";"err";"t";"pval";"p_corr";"p_corr_hoch"
"PTA_lf";102;0,768482320533679;0,779003900144441;0,986493546940123;0,326225296484116;1;0,652450592968232
"PTA_hf";102;-0,37139186299747;2,7041310906365;-0,137342403363312;0,891030898606061;1;0,92838187545613
"teoae_SNR_1";102;2,31517966666202;1,34683093105148;1,7189831427873;0,088650963613739;1;0,387291994333565
"teoae_SNR_2";102;0,475879521847097;0,91085226983103;0,522455218710029;0,602486321701364;1;0,887874579349379
"teoae_SNR_3";100;-0,16849175892597;1,11944933527128;-0,150513072469813;0,880663021186036;1;0,92838187545613
"teoae_SNR_4";98;-0,590546395809273;1,07114091712548;-0,551324654270574;0,58266600205264;1;0,887874579349379
"teoae_SNR_5";65;-1,95002770017699;1,21165467672345;-1,60939229438725;0,11237707248986;1;0,393319753714511
"SP_amp";78;0,00143699356890804;0,010875986644821;0,13212535247019;0,895225379904126;1;0,92838187545613
"AP_amp_pm";78;-0,104731419032412;0,0404078952368112;-2,5918553396219;0,0113918114058067;0,318970719362588;0,159485359681294
"WV_amp_pm";78;-0,0561213744918998;0,0333917822384772;-1,68069419269366;0,0968229985833913;1;0,387291994333565
"AP_lat";78;-1,37779173858789e-05;5,12505059483674e-05;-0,268834758426767;0,788766644551599;1;0,92838187545613
"WV_lat";78;0,000132356041803397;9,61642492800712e-05;1,37635392356592;0,172650557244651;1;0,479173771160392
"memr_slope";92;-0,00311518178914496;0,00232975431798684;-1,33712888311623;0,184477338314894;1;0,479173771160392
"FFR_SNR";81;-3,90148389680149;1,69152896368994;-2,30648364914231;0,0236390465239477;0,661893302670534;0,220631100890178
"FFR_noise";81;5,80438021776959e-06;6,33024970135899e-06;0,916927529181588;0,361902656743729;1;0,675551625921627
"EFR_SNR";55;-0,308520734436765;1,44682169743569;-0,213240328772771;0,831927978017035;1;0,92838187545613
"EFR_noise";55;-2,64201977912291e-07;1,67066442187319e-06;-0,158141859282585;0,874924223481451;1;0,92838187545613
"Neg_4Hz";100;0,0726549220476856;0,112143496524335;0,647874591924458;0,518550805774818;1;0,887874579349379
"ITPC_ratio";100;-0,00279238042837066;0,0441653462483194;-0,0632255980213653;0,949713069073491;1;0,949713069073491
"AEP_p2n1_int";96;-0,194521007742153;0,331219439912971;-0,587287412216093;0,558389452910069;1;0,887874579349379
"acalos_AC_slope_1";99;0,00208981431257257;0,0113893407815344;0,183488610329476;0,854789934710016;1;0,92838187545613
"acalos_AC_slope_2";99;-0,0106060412175106;0,00988045698109406;-1,07343630338201;0,285684915084672;1;0,615321355566987
"acalos_AC_slope_3";99;-0,0181017581510813;0,00977783545510773;-1,85130525402996;0,0671065307200584;1;0,375796572032327
"acalos_AC_slope_4";99;-0,0181076773145637;0,0146340284468911;-1,23736791822423;0,218877370271462;1;0,510713863966744
"rds";98;1,55955608588265;0,777877887798191;2,00488548440041;0,0477336224651827;1;0,334135357256279
"nesi";98;9,04841306834686;6,82890613276769;1,32501646565753;0,188246838670154;1;0,479173771160392
"tts";98;0,11229546870677;0,250673358390616;0,44797528316425;0,65515980814876;1;0,917223731408263
"ssq12_mean";100;0,716433179845507;0,26351257392399;2,71878176125349;0,00772568170541679;0,21631908775167;0,159485359681294
